Product Title,Price,battery,camera,display,performance,price,design,charging,sound,Cumulative_Score
iPhone 16e 128 GB,"58,400.00",0.537472527,0,0.537472527,0,0.537472527,0,0,0,0.537472527
iQOO Z9s 256 GB,"21,999.00",0.380014261,0.380014261,0.380014261,0.380014261,0.380014261,0.380014261,0.380014261,0.380014261,0.380014261
iQOO Z9x 128 GB,"11,999.00",0.228087508,0.228087508,0.228087508,0.228087508,0.228087508,0.228087508,0.228087508,0.228087508,0.228087508
POCO C61 64 GB,"5,799.00",0.241666667,0.241666667,0.241666667,0.241666667,0.241666667,0.241666667,0.241666667,0.241666667,0.241666667
Motorola G45 128 GB,"11,948.00",0.46935693,0.46935693,0.46935693,0.46935693,0.46935693,0,0,0.46935693,0.46935693
Samsung Galaxy A05 128 GB,"8,698.00",0.346282051,0.346282051,0.346282051,0,0.346282051,0.346282051,0.346282051,0,0.346282051
realme NARZO 70 128 GB,"15,249.00",0.363855721,0.363855721,0.363855721,0.363855721,0.363855721,0.363855721,0.363855721,0.363855721,0.363855721
iQOO Z7 Pro 256 GB,"19,499.00",0.225966717,0.225966717,0.225966717,0.225966717,0.225966717,0.225966717,0.225966717,0.225966717,0.225966717
Redmi A4 128 GB,"8,999.00",0.355232558,0.355232558,0.355232558,0.355232558,0.355232558,0.355232558,0.355232558,0.355232558,0.355232558
Redmi 13 128 GB,"11,958.00",0.230915245,0.230915245,0.230915245,0.230915245,0.230915245,0.230915245,0.230915245,0.230915245,0.230915245
Samsung Galaxy A36 256 GB,"32,999.00",0,0.317162162,0.317162162,0.317162162,0.317162162,0.317162162,0,0,0.317162162
Samsung Galaxy S25 256 GB,"80,999.00",0.340439763,0.340439763,0.340439763,0.340439763,0.340439763,0.340439763,0.340439763,0,0.340439763
POCO M6 128 GB,"8,499.00",0.220321145,0.220321145,0.220321145,0.220321145,0.220321145,0.220321145,0,0,0.220321145
Samsung Galaxy M35 64GB,"11,999.00",0.225541807,0.225541807,0.225541807,0.225541807,0.225541807,0.225541807,0.225541807,0.225541807,0.225541807
